iter	RMSE
0	0.1017638491
1	0.0998032174
2	0.09788977898
3	0.09599068085
4	0.09420603571
5	0.09245758451
6	0.09082725078
7	0.08913312461
8	0.0876470694
9	0.08611930903
10	0.08458000591
11	0.08311990812
12	0.08162838741
13	0.08027994721
14	0.07892510839
15	0.07758557093
16	0.07636075827
17	0.07514658162
18	0.07391897095
19	0.07275397769
20	0.07163361348
21	0.07052651593
22	0.069395429
23	0.06832280632
24	0.06732612368
25	0.06631899643
26	0.06541553107
27	0.06451146967
28	0.06356006346
29	0.06271295782
30	0.06185475624
31	0.06103602529
32	0.06027350738
33	0.05954146263
34	0.05880641776
35	0.0581324811
36	0.05743970288
37	0.05681589717
38	0.05618612827
39	0.05559111369
40	0.05497745668
41	0.05438721152
42	0.05372510189
43	0.05319409426
44	0.05265493687
45	0.05211589919
46	0.0514982678
47	0.05098573821
48	0.05049027566
49	0.05000717686
50	0.04954692242
51	0.04909614957
52	0.04870021705
53	0.04820879372
54	0.04780436768
55	0.04738310968
56	0.04693700271
57	0.04657279076
58	0.0462210991
59	0.04584531804
60	0.04548855903
61	0.04516464023
62	0.04480213183
63	0.04446364047
64	0.0441458774
65	0.04380297556
66	0.0435380819
67	0.04323633137
68	0.04297661709
69	0.04272107041
70	0.04248567411
71	0.04224656294
72	0.04200298872
73	0.04177536224
74	0.04151434693
75	0.04128252003
76	0.04096382997
77	0.0407228009
78	0.04053537126
79	0.04038007525
80	0.0401529059
81	0.03992082891
82	0.03970048395
83	0.03947722718
84	0.0393218259
85	0.03913675624
86	0.03895957902
87	0.03881016518
88	0.03868134784
89	0.03851473624
90	0.03837938451
91	0.03824294726
92	0.03812103453
93	0.03796745562
94	0.03784144877
95	0.03772790692
96	0.03755125636
97	0.03742814082
98	0.03730648028
99	0.03718313255
100	0.03708207038
101	0.03699086232
102	0.03683713978
103	0.03673241386
104	0.03661738897
105	0.03651336455
106	0.03638635577
107	0.03624970772
108	0.03617219188
109	0.03606513511
110	0.0358890504
111	0.03578769989
112	0.03566312943
113	0.03558637725
114	0.03549716702
115	0.03541243777
116	0.03534137772
117	0.03525629579
118	0.03519540967
119	0.03508868106
120	0.03493851431
121	0.03485818111
122	0.03478639855
123	0.03473176729
124	0.03465450732
125	0.03458328239
126	0.03447895317
127	0.0344010118
128	0.03435663459
129	0.03427020264
130	0.03418168258
131	0.03411443607
132	0.03405836423
133	0.03397302407
134	0.03390862864
135	0.03385604407
136	0.03374602399
137	0.03364378552
138	0.03357750324
139	0.03353193569
140	0.03346696984
141	0.03338048629
142	0.03331734076
143	0.03324990471
144	0.03319219381
145	0.03314095495
146	0.03308223992
147	0.03302674538
148	0.03295049939
149	0.03291219639
150	0.03287186362
151	0.03283874859
152	0.03277568593
153	0.0326987181
154	0.03263778683
155	0.0325796976
156	0.03254285009
157	0.03250111962
158	0.03245875715
159	0.03241631246
160	0.0323599354
161	0.03228431728
162	0.03223851567
163	0.03217559973
164	0.03209127814
165	0.03204934605
166	0.03199538278
167	0.0319435941
168	0.03190185109
169	0.03186517517
170	0.03177537707
171	0.03171926461
172	0.03166955817
173	0.03162431199
174	0.03155016354
175	0.0314721853
176	0.03141811814
177	0.03135793433
178	0.03132087316
179	0.0312879413
180	0.03125358722
181	0.03121177435
182	0.03117324183
183	0.0311423073
184	0.03110063302
185	0.03107781903
186	0.03104187478
187	0.03097128098
188	0.03092235504
189	0.03085909331
190	0.03082731894
191	0.03080651535
192	0.03077282013
193	0.03073023102
194	0.03070052911
195	0.03067801022
196	0.03063475357
197	0.0306149598
198	0.03055918103
199	0.03051619258
200	0.03049137207
201	0.03045177118
202	0.03042271994
203	0.03037298516
204	0.03034844058
205	0.03032188116
206	0.03027603819
207	0.03024712593
208	0.03022656812
209	0.03020375379
210	0.03017517712
211	0.03014908684
212	0.03012797867
213	0.03010602503
214	0.03007267123
215	0.0300357729
216	0.02999985655
217	0.02997888531
218	0.02995693251
219	0.02992933955
220	0.02989998367
221	0.02987969959
222	0.02984628689
223	0.02981616144
224	0.0297801294
225	0.02975397141
226	0.0297120752
227	0.02969033915
228	0.02965267555
229	0.02960948148
230	0.02958162741
231	0.02952524859
232	0.02949882469
233	0.02947040135
234	0.02945145041
235	0.029432144
236	0.02941574861
237	0.02938959032
238	0.02935818673
239	0.0293416027
240	0.02931748925
241	0.02930177319
242	0.02927225282
243	0.02926126169
244	0.0292374678
245	0.02922442192
246	0.02920260406
247	0.02918453871
248	0.02915869258
249	0.02912997709
250	0.02910750136
251	0.02908314349
252	0.02906159195
253	0.0290406667
254	0.02901010023
255	0.02898727442
256	0.02896323333
257	0.02892372213
258	0.02890884577
259	0.02888728617
260	0.02886141588
261	0.02884132446
262	0.02881403128
263	0.02879822146
264	0.02878237064
265	0.02876472119
266	0.02873133614
267	0.02868884821
268	0.02866443695
269	0.02864226901
270	0.02862484905
271	0.0286090792
272	0.02858161963
273	0.02854789743
274	0.02852592674
275	0.02850960547
276	0.02849956909
277	0.0284706146
278	0.02843915547
279	0.02842767864
280	0.02840929854
281	0.02838801291
282	0.02836912962
283	0.0283483021
284	0.0283168452
285	0.02830069751
286	0.02827621373
287	0.02823942571
288	0.0282303111
289	0.02821307485
290	0.02819187252
291	0.0281631578
292	0.02815136274
293	0.02813754952
294	0.02811703628
295	0.02809872245
296	0.02808835399
297	0.02807188892
298	0.02805669652
299	0.02803555568
