Avg_Salinity_Index,Rainfall,Wind_Mean,Wind_Max,Temp_Max,District,Clay,Nitrogen,Soil_Moisture_mm,pH,AP_Ratio,Avg_Humidity,Silt,CN_Ratio,Crop_Name,Organic_Carbon,Transplant,NDVI_Season_Mean,LST_C,Season_Kharif 2,Season_Rabi,start_month,end_month,duration_months,no_growth_flag,Dominant_Soil_Texture_Loamy (Thịt/Phù sa)
-1.688460769013852,-1.0653595678668717,-0.7807982872511738,-1.0403408789872306,-1.050193263880087,0.4287022321756697,-1.3821548188065538,2.7952672435033294,-1.1128803297361738,-0.4030918595232694,-0.9828331411339748,-1.4760523673815173,1.851190754060881,-1.1088686550122697,0.4332502065726242,2.5981589475871907,12,0.5118091536297626,-2.031804607340217,False,True,1,3,3,0,True
-1.688460769013852,-1.0653595678668717,-0.7807982872511738,-1.0403408789872306,-1.050193263880087,0.4287022321756697,-1.3821548188065538,2.7952672435033294,-1.1128803297361738,-0.4030918595232694,-0.39663109673620706,-1.0313838717686754,1.851190754060881,-1.1088686550122697,0.4332502065726242,2.5981589475871907,12,0.5118091536297626,-2.031804607340217,False,True,1,3,3,0,True
-1.688460769013852,-1.0653595678668717,-0.7807982872511738,-1.0403408789872306,-1.050193263880087,0.4287022321756697,-1.3821548188065538,2.7952672435033294,-1.1128803297361738,-0.4030918595232694,-0.5552814607009814,0.08028736726342922,1.851190754060881,-1.1088686550122697,0.4332502065726242,2.5981589475871907,11,0.5118091536297626,-2.031804607340217,False,True,12,3,4,0,True
-1.688460769013852,-1.0653595678668717,-0.7807982872511738,-1.0403408789872306,-1.050193263880087,0.4287022321756697,-1.3821548188065538,2.7952672435033294,-1.1128803297361738,-0.4030918595232694,0.1048742496671189,0.747290110682692,1.851190754060881,-1.1088686550122697,0.4332502065726242,2.5981589475871907,11,0.5118091536297626,-2.031804607340217,False,True,12,3,4,0,True
0.5158083172377472,-0.3572499704436579,0.7446155687542934,-0.2130509902597793,1.5266798828940045,0.4287022321756697,-1.3821548188065538,2.7952672435033294,-0.67229883907153,-0.4030918595232694,0.6955184412027071,-0.14204688054299172,1.851190754060881,-1.1088686550122697,0.2724773835112532,2.5981589475871907,4,0.2671469327157075,0.43521182941195213,False,False,0,0,0,1,True
0.5158083172377472,-0.3572499704436579,0.7446155687542934,-0.2130509902597793,1.5266798828940045,0.4287022321756697,-1.3821548188065538,2.7952672435033294,-0.67229883907153,-0.4030918595232694,2.1885403834977035,0.969624358489113,1.851190754060881,-1.1088686550122697,0.2724773835112532,2.5981589475871907,4,0.2671469327157075,0.43521182941195213,False,False,0,0,0,1,True
0.5158083172377472,-0.3572499704436579,0.7446155687542934,-0.2130509902597793,1.5266798828940045,0.4287022321756697,-1.3821548188065538,2.7952672435033294,-0.67229883907153,-0.4030918595232694,2.1885403834977035,0.747290110682692,1.851190754060881,-1.1088686550122697,0.2724773835112532,2.5981589475871907,4,0.2671469327157075,0.43521182941195213,False,False,0,0,0,1,True
0.5158083172377472,-0.3572499704436579,0.7446155687542934,-0.2130509902597793,1.5266798828940045,0.4287022321756697,-1.3821548188065538,2.7952672435033294,-0.67229883907153,-0.4030918595232694,-0.8450527025025062,0.08028736726342922,1.851190754060881,-1.1088686550122697,0.2724773835112532,2.5981589475871907,3,0.2671469327157075,0.43521182941195213,False,False,4,7,4,0,True
-1.688460769013852,-1.0653595678668717,-0.7807982872511738,-1.0403408789872306,-1.050193263880087,0.4287022321756697,-1.3821548188065538,2.7952672435033294,-1.1128803297361738,-0.4030918595232694,-0.7387212772028094,1.4142928541019548,1.851190754060881,-1.1088686550122697,0.4332502065726242,2.5981589475871907,2,0.5118091536297626,-2.031804607340217,False,True,3,7,5,0,True
-1.9801355289025964,0.9347292106130759,0.1247280300792266,0.6574958861135513,-0.3287652948862164,0.4287022321756697,-1.3821548188065538,2.7952672435033294,1.0405116162824255,-0.4030918595232694,2.1885403834977035,-0.5867153761558336,1.851190754060881,-1.1088686550122697,0.41785402098599295,2.5981589475871907,10,0.507816116388428,-0.3846545700867662,True,False,11,8,10,0,True
