iter	RMSE
0	0.9900935512
1	0.9746147462
2	0.9569537865
3	0.94625743544	0.934328311155	0.924660108466	0.916368872
7	0.9106280718	8	0.9018660789	9	0.8960644081010	0.8891241811	11	0.8823541212	12	0.8733461313	13	0.8688414	14	14	0.8618315	0.8620733193
16	0.8583609317
17	0.8534719949
18	0.8489762384
19	0.8422483442
20	0.8366254077
21	0.8327453579
22	0.8274558039
23	0.8235637639
24	0.8200247327
25	0.8162201101
26	0.8141730807
27	0.8113491745
28	0.8077693342
29	0.8040653969
30	0.7998688159
31	0.7980127386
32	0.7947389064
33	0.7930424472
34	0.789492469
35	0.7857475891
36	0.7822766155
37	0.7798172669
38	0.7786379738
39	0.7750369018
40	0.7729643024
41	0.7705775472
42	0.7682273471
43	0.7655699665
44	0.76294033
45	0.7614865009
46	0.7591128697
47	0.7562965878
48	0.7539928445
49	0.7517140379
50	50	0.7493521251	51	0.7477644552	52	0.7449107653	53	0.7438142854	0.7434098179
55	0.7424558549
56	0.739901758
57	0.7383071965
58	0.7360642128
59	0.7341865738
60	0.731476148
61	0.7298535313
62	0.7287427084
63	0.7277398028
64	0.7267625192
65	0.7254762012
66	0.7238809993
67	0.7218765655
68	0.7200600975
69	0.718796456
70	0.7172159999
71	0.7162716774
72	0.7157428631
73	0.7139988912
74	0.7128068396
75	0.7113743577
76	0.7097688347
77	0.7075588722
78	0.7067263581
79	0.706019825
80	0.7051199659
81	0.7041207093
82	0.7033896783
83	0.7024233129
84	0.7012969562
85	0.7002821106
86	0.699464869
87	0.6986447973
88	0.6975661011
89	0.6970611544
90	0.6958025622
91	0.6948413355
92	0.6924836011
93	0.6915985778
94	0.6904721471
95	0.6892861713
96	0.6871578694
97	0.6862657075
98	0.6853099367
99	0.6846863799
100	0.6841175504
101	0.6833379572
102	0.6823670877
103	0.6818506659
104	0.6814746771
105	0.6791834346
106	0.678216419
107	0.6773122067
108	0.6762164928
109	0.6757381262
110	0.6753803833
111	0.6748152858
112	0.6741810218
113	0.6737730433
114	0.6729681005
115	0.6724333706
116	0.671464211
117	0.6711899713
118	0.6699747155
119	0.6693054946
120	0.6688538276
121	0.6682441996
122	0.6671861407
123	0.6655395267
124	0.6644720147
125	0.6635024022
126	0.6631260507
127	0.6629589753
128	0.6624595183
129	0.6605369029
130	0.6599568769
131	0.6584075242
132	0.6578567419
133	0.6562312874
134	0.6557890541
135	0.6554485024
136	0.655109073
137	0.6544873209
138	0.6532165261
139	0.6521822873
140	0.6515387824
141	0.6512288334
142	0.6505748226
143	0.6500971288
144	0.649562965
145	0.6488160978
146	0.6480513876
147	0.6476320666
148	0.6471824571
149	0.6462264801
150	0.6457100028
151	0.6448821845
152	0.6442977192
153	0.6437680823
154	0.6432343714
155	0.6429565453
156	0.6418151341
157	0.6414140907
158	0.6409989775
159	0.6400323677
160	0.6393215256
161	0.6386010147
162	0.6381171865
163	0.6373335045
164	0.63698913071165	0.63632640111166	0.63571121151167	0.63454148111168	0.63421267591169	0.63329461981170	0.6320877004
171	0.63113439211172	0.6302884671
173	0.62942258651174	0.62893730111175	0.628436444
176	0.6277187793
177	0.6271069776
178	0.6258684416
179	0.6249203636
180	0.6244975899
181	0.6240679071
182	0.6230570333
183	0.622371077
184	0.6214111607
185	0.6207466945
186	0.6202515557
187	0.6196088887
188	0.6185478722
189	0.6180230745
190	0.6176263218
191	0.6163226848
192	0.6153621381
193	0.614578779
194	0.6141158417
195	0.6136259382
196	0.6129145384
197	0.6122457603
198	0.6112980636
199	0.6108278413
200	0.6103886714
201	0.6096621482
202	0.60910941912203	0.6085185891204	0.6018988135
205	0.6013508955
206	0.6004617258
207	0.5994449783
208	0.5988229867
209	0.5984622772
210	0.5981039528
211	0.5974977325
212	0.5965035185
213	0.5956729672
214	0.5951733244
215	0.5947549075
216	0.59388648952217	0.5930890541
218	0.5924619699
219	0.5920103781
